Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
C37;C38;C2;C3;C21;C22;C24;C10;C13;C12;C16;C4,100n,Capacitors_SMD:C_0603,12,KEMET,C0603T104K3RALTU,Mouser,80-C0603T104K3RALTU
C32;C28,10n,Capacitors_SMD:C_0603,2,KEMET,C0603C103K2RECTU,Mouser,80-C0603C103K2REC
C7,10u,Capacitors_SMD:C_0603,1,KEMET,C0603C106M7PACTU,Mouser,80-C0603C106M7P
C35;C30,1n,Capacitors_SMD:C_0603,2,KEMET,C0603S102K4RACTU,Mouser,80-C0603S102K4R
C17;C18,20p,Capacitors_SMD:C_0603,2,KEMET,C0603C200K4GACTU,Mouser,80-C0603C200K4G
C33;C29,39n,Capacitors_SMD:C_0603,2,KEMET,C0603C393K4RACTU,Mouser,80-C0603C393K4R
C14;C15;C6,470p,Capacitors_SMD:C_0603,3,KEMET,C0603C471K4RACTU,Mouser,80-C0603C471K4R
C20;C23;C25;C19;C11,4u7,Capacitors_SMD:C_0603,5,Murata Electronics,GRM188R61C475KAAJD,Mouser,81-GRM188R61C475KAJD
C26;C27;C31;C34;C36,47u,Capacitors_Tantalum_SMD:CP_EIA-6032-28_Kemet-C,5,AVX,TAJC476K016SNJ,Mouser,581-TAJC476K016SNJ
C1;C5,10u,Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow,2,AVX,F931C106KAA,Mouser,647-F931C106KAA
J7,GS2,Connectors:GS2,1,,,,
J8,GS3,Connectors:GS3,1,,,,
J1,Radio,Connectors_DSub:DSUB-9_Male_Horizontal_Pitch2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,TE Connectivity / AMP,1734354-1,Mouser,571-1734354-1
Y1,8 MHz,Crystals:Crystal_SMD_Abracon_ABM3-2pin_5.0x3.2mm,1,ABRACON,ABM3-8.000MHz-D2Y-T,Mouser,815-ABM3-8-D2Y-T
U2,STM32F722RETx,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,1,STMicroelectronics,STM32F722RET6,Mouser,511-STM32F722RET6
U3;U4,MCP6002,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,2,Microchip Technology,MCP6002-E/SN,Mouser,579-MCP6002-E/SN
